created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Nov 12 18:18:39 +0000 2023;1723767278301589627;"@Nikmatul_Sg tak mengapa cuma baliho saja yang diturunkan, karena Ganjar Mahfud sudah terlanjur ada dalam hati kami.";0;0;0;0;in;1704571589918961664;1723558368420446531;EdithIsom82026;https://twitter.com/EdithIsom82026/status/1723767278301589627
Sun Nov 12 18:18:26 +0000 2023;1723767222404071817;"@gus_dibyo Pemimpin rakyat yang sebenarnya sudah di lingkungan rakyat,maju terus ganjar mahfud";0;0;0;0;in;1713480440055762944;1723535486306906545;Linda52878;https://twitter.com/Linda52878/status/1723767222404071817
Sun Nov 12 18:18:04 +0000 2023;1723767130037039351;"@kiki_daliyo @ganjarpranowo Semoga pak Ganjar selalu diberikan kesehatan dan keselamatan";0;0;0;0;in;1699972634224844800;1723558504173371891;almaira370;https://twitter.com/almaira370/status/1723767130037039351
Sun Nov 12 18:18:03 +0000 2023;1723767125586723277;"@gus_dibyo Begitulah pemimpin yang sesungguhnya, bersedia terjun dan merasakan yang rakyat rasakan. Benar" Pak Ganjar Idaman!";0;0;0;0;in;2758592218;1723535486306906545;jigooku;https://twitter.com/jigooku/status/1723767125586723277
Sun Nov 12 18:18:01 +0000 2023;1723767118548607385;"@AirinDatangLagi Justru yg banyak menyerang skrng pendukung ganjar. Jgn di bolak balik anjir😂";0;0;0;0;in;1458229015668568076;1723730751437365393;luffyomoy;https://twitter.com/luffyomoy/status/1723767118548607385
Sun Nov 12 18:17:58 +0000 2023;1723767103004749959;"@ganjarpranowo Foto yg bis dirasakan kehangatannya. MasyaAllah disambut hangat sekali pak ganjar ini";0;0;0;0;in;1400663492902879232;1723649027106132210;Syamilaaulia2;https://twitter.com/Syamilaaulia2/status/1723767103004749959
Sun Nov 12 18:17:46 +0000 2023;1723767054824796590;"@gus_dibyo Rakyat akan lebih percaya dengan sosok pemimpin yg mau bersilaturahmi dengan rakyat.pak Ganjar istimewa pokoknya";0;0;0;0;in;1607443835684261888;1723685328501035327;zunkha06;https://twitter.com/zunkha06/status/1723767054824796590
Sun Nov 12 18:17:45 +0000 2023;1723767050890318188;"Ganjar-Mahfud di hati rakyat Indonesia 🇮🇩 #GanjarMahfudPilihanRakyat https://t.co/PKRoahtEgw";0;1;0;2;in;1355843073230553088;1723767050890318188;knpiharis;https://twitter.com/knpiharis/status/1723767050890318188
Sun Nov 12 18:17:39 +0000 2023;1723767024516510063;"@YusufNusantara5 @adearmando61 Ketikan nya Anarkis dan liar  .. Mendingan buzzer nya Anies  yg bisa menempatkan diri daripada buzzer nya Ganjar.. sumpah orang2 banteng tuh goblok nya pada ga bisa ketolong.";0;0;0;0;in;1462361745482084357;1723725917430984965;anakbaik1997;https://twitter.com/anakbaik1997/status/1723767024516510063
Sun Nov 12 18:17:25 +0000 2023;1723766966333198468;"@Prihati_utami Keceriaan terlihat jelas di rakyat, duduk bareng bersama pak ganjar";0;0;0;0;in;1713480440055762944;1723554022374941076;Linda52878;https://twitter.com/Linda52878/status/1723766966333198468
